Episode,Time,Character,Type of Roll,Total Value,Natural Value,Crit?,Damage,# Kills,Notes
2,2:22:05,Grog,Damage,8,,,8,,
2,2:22:05,Grog,Damage,16,,,6,,
2,2:22:05,Grog,Damage,10,,,10,1,
2,2:23:49,Tiberius,Attack,10,1,,,,Firebolt
2,2:23:49,Tiberius,Attack,11,2,,,,Disregarded due to disadvantage
2,2:24:33,Vex'ahlia,Attack,20,9,,,,Disregarded due to disadvantage
2,2:24:33,Vex'ahlia,Attack,20,9,,,,Arrow
2,2:24:38,Vex'ahlia,Attack,19,8,,,,Arrow
2,2:24:38,Vex'ahlia,Attack,Unknown,Unknown,,,,Disregarded due to disadvantage
2,2:25:03,Vex'ahlia,Damage,24,,,24,,
2,2:26:05,Scanlan,Damage,28,,,14,,Lightning Bolt
2,2:27:05,Percy,Attack,24,13,,,,Pepperbox
2,2:27:05,Percy,Attack,Unknown,Unknown,,,,Disregarded due to disadvantage
2,2:27:15,Percy,Damage,6,,,6,,
2,2:27:22,Percy,Attack,Unknown,19,,11,,Pepperbox
2,2:27:22,Percy,Attack,Nat20,20,Y,,,Disregarded due to disadvantage
2,2:29:15,Keyleth,Damage,11,,,6,,Call Lightning
2,2:31:02,Vax'ildan,Attack,Unknown,Unknown,,,,Dagger
2,2:31:04,Vax'ildan,Attack,27,17,,,,Flame-Tongue Dagger with Sneak Attack
2,2:31:30,Vax'ildan,Damage,24,,,24,1,HDYWTDT
2,2:33:18,Keyleth,Healing,20,,,,,Healing Scanlan
2,2:35:35,Vax'ildan,Stealth,29,16,,,,
2,2:39:08,Vex'ahlia,Stealth,Nat20,20,,,,Disregarded due to disadvantage
2,2:39:08,Vex'ahlia,Stealth,22,13,,,,
2,2:41:12,Scanlan,Healing,Unknown,,,,,"Potion on self, rolls not announced"
2,2:44:37,Grog,Intelligence Save,6,8,,,,Grog unconscious due to failing INT save
2,2:46:25,Tiberius,Damage,29,,,15 (29/2) Ice,1,Glacial Blast
2,2:47:52,Vex'ahlia,Attack,27,16,,,,Arrow
2,2:48:13,Vex'ahlia,Damage,11,,,11,,
2,2:48:18,Vex'ahlia,Attack,23,12,,,,Arrow
2,2:48:25,Vex'ahlia,Damage,24,,,24,1,
2,2:51:52,Percy,Attack,Unknown,19,Y,,,"Pepperbox with Sharp Shooter, 
Assumed Nat19 due to “I crit” not “TWENTY”"
2,2:52:14,Percy,Damage,Unknown,,,25,?,"Incapacitated (non-lethal damage done over max HP) – 
unknown due to crit-inclusive value announced by Taliesin)"
2,2:53:18,Keyleth,Damage,22,,,22,,Call Lightning
2,2:54:36,Vax'ildan,Constitution,14,14,,,,
2,2:54:36,Vax'ildan,Constitution,Unknown,Unknown,,,,Disregarded due to advantage
2,2:54:52,Vax'ildan,Inspiration,1,,,,,
2,2:56:23,Tiberius,Attack,14,5,,,,Firebolt
2,2:56:48,Vex'ahlia,Attack,23,12,,,,Arrow
2,2:56:54,Vex'ahlia,Damage,8,,,,1,
2,2:57:21,Vex'ahlia,Intimidation,8,5,,,,
3,0:05:54,Percy,Medicine,19,16,,,,
3,0:11:33,Percy,Intimidation,21,19,,,,
3,0:12:32,Percy,History,14,7,,,,
3,0:14:49,Vex'ahlia,Intimidation,14,11,,,,"Disregarded due to advantage 
(given due to Vax assist)"
3,0:14:59,Vax'ildan,Intimidation,19,19,,,,
3,0:15:04,Vex'ahlia,Intimidation,14,11,,,,With advantage
3,0:15:21,Scanlan,Insight,Unknown,Unknown,,,,
3,0:15:33,Vex'ahlia,Insight,24,18,,,,
3,0:18:59,Scanlan,Arcana,Unknown,Unknown,,,,
3,0:19:02,Tiberius,Arcana,24,18,,,,
3,0:21:36,Keyleth,Religion,8,6,,,,
3,0:23:30,Vax'ildan,Religion,10,8,,,,
3,0:23:30,Vex'ahlia,Religion,Unknown,Unknown,,,,
3,0:24:16,Tiberius,Religion,20,18,,,,
3,0:30:14,Keyleth,Wisdom,7,2,,,,Disregarded due to advantage
3,0:30:26,Keyleth,Wisdom,29,17,,,,With advantage
3,0:30:33,Keyleth,Inspiration,6,,,,,
3,0:36:25,Vex'ahlia,Survival,19,13,,,,
3,0:38:39,Vax'ildan,Stealth,Nat20,20,,,,
3,0:39:45,Vex'ahlia,Stealth,16,7,,,,
3,0:50:25,Tiberius,Arcana,20,14,,,,
3,0:53:00,Grog,Stealth,6,4,,,,
3,0:53:00,Keyleth,Stealth,15,13,,,,
3,0:53:00,Percy,Stealth,12,7,,,,
3,0:53:00,Scanlan,Stealth,20,18,,,,
3,0:53:00,Tiberius,Stealth,11,8,,,,
3,0:53:00,Vax'ildan,Stealth,30,17,,,,
3,0:53:00,Vex'ahlia,Stealth,Nat20,20,,,,
3,0:55:48,Keyleth,Perception,Unknown,Unknown,,,,
3,0:57:51,Vax'ildan,Stealth,29,16,,,,
3,0:57:51,Vex'ahlia,Stealth,17,8,,,,
3,0:57:51,Scanlan,Stealth,13,11,,,,
3,1:04:43,Scanlan,Stealth,18,16,,,,
3,1:04:43,Scanlan,Stealth,Unknown,Unknown,,,,Disregarded due to advantage
3,1:07:00,Scanlan,Stealth,19,17,,,,With advantage
3,1:07:00,Scanlan,Stealth,Unknown,Unknown,,,,Disregarded due to advantage
3,1:14:20,Scanlan,Stealth,21,19,,,,With advantage
3,1:14:20,Scanlan,Stealth,Unknown,Unknown,,,,Disregarded due to advantage
3,1:14:35,Scanlan,Survival,17,17,,,,
3,1:28:30,Tiberius,Intelligence,14,12,,,,
3,1:30:07,Percy,Intelligence,Unknown,Unknown,,,,
3,1:30:30,Keyleth,Intelligence,17,15,,,,
3,1:53:15,Percy,Attack,Unknown,Unknown,,,,"Bad News, Misfire"
3,1:53:25,Vex'ahlia,Attack,Unknown,Unknown,,,,Arrow
3,1:54:14,Vax'ildan,Dexterity,Nat1,1,,,,Disregarded due to advantage
3,1:54:14,Vax'ildan,Dexterity,28,19,,,,With advantage
3,1:54:55,Vax'ildan,Wisdom Save,7,5,,,,
3,1:56:26,Tiberius,Athletics,21,20,,,,Unannounced nat20 or bad math/mod
3,1:58:05,Percy,Attack,23,11,,,,Bad News
3,1:58:27,Percy,Damage,20,,,20 to Duergar,,
3,1:59:58,Percy,Attack,15,3,,,,Bad News
3,2:00:43,Vex'ahlia,Perception,Nat20,20,,,,
3,2:14:27,Keyleth,Stealth,22,16,,,,
3,2:14:27,Keyleth,Stealth,19,13,,,,Disregarded due to advantage
3,2:14:27,Vex'ahlia,Stealth,15,6,,,,With advantage
3,2:15:30,Vex'ahlia,Survival,16,10,,,,
3,2:20:09,Keyleth,Persuasion,9,9,,,,With disadvantage
3,2:20:09,Keyleth,Persuasion,Unknown,Unknown,,,,Disregarded due to disadvantage
3,2:22:06,Vex'ahlia,Persuasion,19,12,,,,
3,2:22:10,Grog,Insight,16,16,,,,
3,2:29:23,Keyleth,Insight,18,8,,,,
3,2:29:23,Percy,Insight,Nat1,1,,,,
3,2:29:23,Scanlan,Insight,13,13,,,,
3,2:29:23,Tiberius,Insight,14,17,,,,
3,2:29:23,Vax'ildan,Insight,4,2,,,,
3,2:29:23,Vex'ahlia,Insight,24,17,,,,
3,2:30:56,Scanlan,Persuasion,17,8,,,,
3,2:31:44,Scanlan,Performance,18,5,,,,
4,0:19:14,Scanlan,Stealth,9,7,,,,
4,0:19:14,Vax'ildan,Stealth,29,16,,,,
4,0:20:35,Vax'ildan,Perception,11,1,,,,
4,0:20:35,Scanlan,Perception,Unknown,Unknown,,,,Bad
4,0:20:35,Scanlan,Perception,Unknown,Unknown,,,,Bad
4,0:22:59,Pike,Religion,Nat20,20,,,,
4,0:39:32,Scanlan,Insight,13,13,,,,
4,0:39:55,Pike,Insight,Nat20,20,,,,
4,0:58:24,Percy,Persuasion,16,10,,,,
4,1:07:38,Percy,Tinkering,17,8,,,,Trapping Arrow
4,1:10:35,Grog,Stealth,Nat1,1,,,,
4,1:10:35,Keyleth,Stealth,19,17,,,,
4,1:10:35,Percy,Stealth,18,13,,,,
4,1:10:35,Pike,Stealth,Nat1,1,,,,
4,1:10:35,Scanlan,Stealth,14,12,,,,
4,1:10:35,Tiberius,Stealth,16,13,,,,
4,1:10:35,Vax'ildan,Stealth,20,7,,,,
4,1:13:00,Vax'ildan,Investigation,12,9,,,,
4,1:25:10,Grog,Stealth,27,15,,,,
4,1:25:10,Keyleth,Stealth,18,6,,,,With disadvantage and Pass Without a Trace
4,1:25:10,Keyleth,Stealth,Unknown,Unknown,,,,Disregarded due to disadvantage
4,1:25:10,Percy,Stealth,22,7,,,,With Pass Without a Trace
4,1:25:10,Pike,Stealth,23,13,,,,With Pass Without a Trace
4,1:25:10,Scanlan,Stealth,15,3,,,,With Pass Without a Trace
4,1:25:10,Tiberius,Stealth,18,5,,,,With Pass Without a Trace
4,1:25:10,Vax'ildan,Stealth,28,5,,,,With Pass Without a Trace
4,1:30:35,Grog,Stealth,23,11,,,,With Pass Without a Trace
4,1:30:35,Keyleth,Stealth,Nat1,1,,,,With Pass Without a Trace
4,1:30:35,Percy,Stealth,29,14,,,,With Pass Without a Trace
4,1:30:35,Pike,Stealth,21,11,,,,With Pass Without a Trace
4,1:30:35,Scanlan,Stealth,30,18,,,,With Pass Without a Trace
4,1:30:35,Tiberius,Stealth,20,7,,,,With Pass Without a Trace
4,1:30:35,Vax'ildan,Stealth,28,5,,,,With Pass Without a Trace
4,1:34:00,Vax'ildan,Acrobatics,18,5,,,,
4,1:36:40,Scanlan,Stealth,Unknown,Unknown,,,,Disregarded due to disadvantage
4,1:36:40,Scanlan,Stealth,13,11,,,,With advantage
4,1:36:40,Vax'ildan,Stealth,28,15,,,,
4,1:40:05,Vax'ildan,Dexterity,Unknown,Unknown,,,,Disregarded due to advantage
4,1:40:05,Vax'ildan,Dexterity,17,12,,,,With advantage
4,1:41:00,Vax'ildan,Attack,Unknown,Unknown,,,,Disregarded due to advantage
4,1:41:00,Vax'ildan,Attack,26,15,Y,,,Dagger with advantage
4,1:42:00,Vax'ildan,Damage,Unknown,,,52 to Duergar Guard,,
4,1:43:20,Vax'ildan,Perception,28,18,,,,
4,1:43:20,Scanlan,Perception,9,9,,,,
4,1:44:24,Scanlan,Stealth,Unknown,Unknown,,,,
4,1:44:24,Scanlan,Stealth,19,17,,,,
4,1:44:24,Vax'ildan,Stealth,Unknown,Unknown,,,,
4,1:44:24,Vax'ildan,Stealth,29,16,,,,
4,1:45:08,Scanlan,Attack,19,17,,,,Added dex mod because not proficient in goblin shit buckets
4,1:46:22,Vax'ildan,Attack,29,19,Y,,,Poison Dagger with advantage
4,1:46:35,Vax'ildan,Damage,Unknown,,,62 to Illithid,,Only total damage w/ crit incl given
4,1:48:12,Grog,Initiative,18,16,,,,
4,1:48:12,Keyleth,Initiative,9,7,,,,
4,1:48:12,Percy,Initiative,19,12,,,,
4,1:48:12,Pike,Initiative,9,9,,,,
4,1:48:12,Scanlan,Initiative,14,14,,,,
4,1:48:12,Tiberius,Initiative,16,13,,,,
4,1:48:12,Vax'ildan,Initiative,Nat20,20,,,,
4,1:48:12,Vex'ahlia,Initiative,21,16,,,,
4,1:50:12,Vax'ildan,Attack,28,18,,,,Flame-Tongue Dagger
4,1:50:25,Vax'ildan,Damage,9,,,9 to Illithid,,
4,1:50:48,Vax'ildan,Attack,24,14,,,,Dagger
4,1:50:58,Vax'ildan,Damage,8,,,8 to Illithid,1,
4,1:54:13,Grog,Strength,15,11,,,,With advantage
4,1:54:13,Grog,Strength,Unknown,Unknown,,,,Disregarded due to advantage
4,1:54:37,Grog,Damage,9,,,9 to Roof,,
4,1:55:15,Grog,Acrobatics,21,19,,,,
4,1:56:21,Pike,Acrobatics,6,6,,8 Fall to Pike,,With disadvantage
4,1:56:21,Pike,Acrobatics,Unknown,Unknown,,,,Disregarded due to disadvantage
4,1:55:58,Vex'ahlia,Acrobatics,12,3,,8 Fall to Vex'ahlia,,
4,1:55:58,Percy,Acrobatics,20,15,,,,
4,1:57:05,Percy,Attack,Nat20,20,Y,,,Pepperbox
4,1:57:37,Percy,Damage,Unknown,,,19 to General,,only total damage w/ crit incl given
4,1:58:18,Vex'ahlia,Attack,15,4,,,,Lightning Arrow
4,1:59:08,Vex'ahlia,Attack,25,14,,,,Arrow
4,1:59:21,Vex'ahlia,Damage,10,,,10 to General,,
4,2:05:18,Tiberius,Damage,27,,,81 (27 to Soldiers 1-3),3,Grand Columns
4,2:06:33,Tiberius,Damage,29,,,14 to General,,Blight
4,2:08:28,Scanlan,Intimidation,11,2,,,,
4,2:11:00,Grog,Stealth,14,12,,,,
4,2:11:00,Keyleth,Stealth,Nat1,1,,,,
4,2:11:00,Percy,Stealth,23,18,,,,
4,2:11:00,Pike,Stealth,17,17,,,,
4,2:11:00,Scanlan,Stealth,Nat20,20,,,,
4,2:11:00,Tiberius,Stealth,5,2,,,,
4,2:11:00,Vax'ildan,Stealth,18,5,,,,
4,2:11:00,Vex'ahlia,Stealth,19,10,,,,
4,2:11:58,Percy,Acrobatics,18,13,,,,
4,2:14:32,Pike,Attack,25,17,,,,Guiding Bolt
4,2:15:05,Pike,Damage,16,,,16 to Bulette,,
4,2:16:09,Pike,Healing,Unknown,,,,,
4,2:17:42,Vax'ildan,Attack,20,9,,,,Dagger Sneak Attack
4,2:17:50,Vax'ildan,Damage,22,,,22 to Bulette,,
4,2:19:34,Grog,Attack,17,9,,,,Great Axe
4,2:19:34,Grog,Attack,19,11,,,,Great Axe
4,2:19:34,Grog,Attack,24,16,,,,Great Axe
4,2:20:10,Grog,Damage,14,,,14 to Bulette,,
4,2:20:10,Grog,Damage,21,,,21 to Bulette,,
4,2:20:10,Grog,Damage,22,,,22 to Bulette,,
4,2:21:32,Vex'ahlia,Attack,18,7,,,,Hail of Thorns
4,2:22:03,Vex'ahlia,Damage,25,,,25 to Bulette,,
4,2:22:22,Vex'ahlia,Attack,Nat20,20,Y,,,Arrow
4,2:22:31,Vex'ahlia,Damage,Unknown,,,15 to Bulette,,
4,2:23:38,Percy,Attack,19,7,,,,Pepperbox Dead Shot
4,2:23:38,Percy,Attack,Unknown,Unknown,,,,Disregarded due to advantage
4,2:24:14,Percy,Damage,35,,,35 to Bulette,,
4,2:27:12,Tiberius,Damage,6,,,6 to Bulette,,"Telekinesis, -5 to Bullette Armor Class"
4,2:27:49,Tiberius,Attack,Unknown,Unknown,,,,Firebolt with Metamagic Wand
4,2:28:45,Tiberius,Damage,N/A,,,10 to Bulette,,"Empowered spell, no roll"
4,2:32:22,Keyleth,Attack,19,12,,,,Charge as rhino
4,2:32:43,Keyleth,Damage,14,,,14 Crushing to Bulette,,
4,2:34:13,Keyleth,Attack,19,12,,,,Attack of Opportunity
4,2:34:13,Vax'ildan,Attack,24,13,,,,Attack of Opportunity
4,2:34:13,Grog,Attack,26,18,,,,Attack of Opportunity
4,2:34:32,Keyleth,Damage,17,,,17 to Bulette,,
4,2:34:32,Vax'ildan,Damage,11,,,11 to Bulette,,
4,2:34:32,Grog,Damage,24,,,24 to Bulette,,
4,2:35:00,Percy,Dexterity Save,20,15,,,,
4,2:35:00,Scanlan,Dexterity Save,Unknown,Unknown,,,,worse than a 9!
4,2:36:38,Scanlan,Cutting Words,6,,,,,
4,2:38:58,Pike,Acrobatics,10,10,,,,
4,2:39:19,Pike,Inspiration,5,,,,,
4,2:40:40,Pike,Healing,23,,,,,
4,2:43:19,Vax'ildan,Attack,25,14,,,,Keen Dagger Sneak Attack
4,2:43:23,Vax'ildan,Damage,30,,,30 to Bulette,,
4,2:44:35,Vax'ildan,Attack,22,12,,,,Flame-Tongue Dagger
4,2:44:41,Vax'ildan,Damage,10,,,10 to Bulette,,
4,2:46:37,Grog,Attack,21,13,,,,Great Axe
4,2:46:37,Grog,Attack,24,16,,,,Great Axe
4,2:46:37,Grog,Attack,Nat20,20,,,,Great Axe
4,2:46:55,Grog,Damage,16,,,16 to Bulette,,
4,2:46:55,Grog,Damage,21,,,21 to Bulette,,
4,2:46:55,Grog,Damage,40,,,40 to Bulette,1,HDYWTDT
5,0:20:25,Vax'ildan,Intimidation,Nat20,20,,,,
5,0:21:37,Keyleth,Insight,22,12,,,,
5,0:23:02,Vex'ahlia,Intimidation,18,15,,,,
5,0:23:50,Vex'ahlia,Insight,16,10,,,,
5,0:29:58,Percy,Arcana,14,11,,,,
5,0:30:07,Keyleth,Nature,29,19,,,,
5,0:32:43,Vax'ildan,Insight,Unknown,Unknown,,,,Low
5,0:34:49,Vax'ildan,Attack,28,17,,,,Thrown Dagger
5,0:34:49,Grog,Attack,17,9,,,,Thrown Axe
5,0:35:03,Vax'ildan,Damage,10,,,10 to Duergar General,,
5,0:35:03,Grog,Damage,15,,,15 to Duergar General,,
5,0:37:35,Tiberius,Arcana,Unknown,Unknown,,,,
5,0:42:38,Grog,Stealth,19,7,,,,
5,0:42:38,Keyleth,Stealth,18,6,,,,
5,0:42:38,Percy,Stealth,19,7,,,,
5,0:42:38,Pike,Stealth,Nat20,20,,,,
5,0:42:38,Tiberius,Stealth,20,7,,,,
5,0:42:38,Vax'ildan,Stealth,29,6,,,,
5,0:42:38,Vex'ahlia,Stealth,31,12,,,,
5,0:43:46,Tiberius,Damage,Unknown,,,unknown,12,Fireball
5,0:48:00,Vax'ildan,Acrobatics,25,12,,,,
